"STATE","Total_households","Pct_MAIN_WATER_HEAT_AGE_0_2","Pct_MAIN_WATER_HEAT_AGE_2_4","Pct_MAIN_WATER_HEAT_AGE_5_9","Pct_MAIN_WATER_HEAT_AGE_10_14","Pct_MAIN_WATER_HEAT_AGE_15_19","Pct_MAIN_WATER_HEAT_AGE_OLDER_THAN_20","MAIN_WATER_HEAT_AGE_0_2","MAIN_WATER_HEAT_AGE_2_4","MAIN_WATER_HEAT_AGE_5_9","MAIN_WATER_HEAT_AGE_10_14","MAIN_WATER_HEAT_AGE_15_19","MAIN_WATER_HEAT_AGE_OLDER_THAN_20"
Rhode Island,418688.99999965,18.86,17.86,29.91,17.64,4.69,11.04,78949.82207435,74796.1805889,125249.3707882,73865.2916248,19616.958507,46211.3764164
Oklahoma,1492833.0000003,14.69,20.52,32.13,23.05,4.75,4.87,219255.1023142,306267.4079136,479575.4345542,344121.3222142,70944.9969378,72668.7360663
Alabama,1900406.0001634,11.6,16.09,38.59,24.37,5.49,3.85,220462.5204235,305834.4560793,733414.9514895,463135.0345732,104403.1064664,73155.9311315
Florida,8062163.9999996,15.94,21.35,33.95,18.72,5.72,4.33,1284839.8041775,1721126.1391619,2736762.8741798,1509414.1800418,461018.1281785,349002.8742601
Illinois,4900521.0000008,15.39,17.8,33.21,21.29,6.24,6.07,754370.0749995,872219.1298699,1627432.9188489,1043152.1561485,305947.9448802,297398.7752538
Wisconsin,2388876.0000004,10.81,16.57,32.42,24.2,6.39,9.62,258168.1993079,395899.3766001,774371.7189553,578104.3623751,152626.583124,229705.759638
Colorado,2259860.9999997,17.01,17.88,33.18,20.81,6.54,4.58,384458.0913742,404058.1763671,749905.0236318,470203.9818376,147795.2373088,103440.4894802
Delaware,380453.9999999,11.79,26.82,30.38,18.2,6.54,6.27,44837.2909888,102033.6939589,115580.3148107,69242.8886879,24900.6966898,23859.1148638
Tennessee,2657514.0002771,13.11,24.46,31.21,20.19,6.66,4.39,348323.8625759,649945.240935,829330.0185736,536438.070351,176863.5366698,116613.2711718
Hawaii,474377.99999987,12.32,13.25,38.06,20.01,6.68,9.68,58465.52630731,62831.67522539,180530.39269146,94941.92895491,31701.8049584,45906.6718624
Massachusetts,2713777.9999996,15.09,18.67,33.43,18.61,6.72,7.48,409413.3805804,506653.7034067,907327.92815,505052.1811394,182316.3451532,203014.4615699
Kentucky,1738263.0002599,16,18.87,33.57,21.05,6.9,3.6,278084.5136773,328022.2136739,583603.2471924,365928.5506212,120025.8376502,62598.6374449
Indiana,2599596.9999959,15.84,20.72,31.81,20.42,6.98,4.24,411706.029043,538572.8333619,826873.0728394,530877.6982214,181363.3527864,110204.0137438
Texas,10255403.0000072,14.82,20.63,36.31,15.12,7.19,5.94,1519438.9750535,2115286.6443674,3723779.2591288,1550569.771449,737198.9243214,609129.4256871
West Virginia,696161.0000002,13.23,17.29,34.41,22.3,7.21,5.55,92124.6998744,120378.6046931,239578.1389895,155233.7800321,50186.1343338,38659.6420773
Kansas,1127072.0000002,16.47,21.28,34.54,17.62,7.34,2.75,185598.6573544,239805.5148023,389339.2681197,198582.2742138,82708.5689923,31037.7165177
Nevada,1139409.0000005,15.7,18.06,31.75,20.08,7.46,6.95,178919.6738059,205749.4093736,361708.1712533,228825.5028379,85055.9765176,79150.2662122
Arizona,2675608.0000025,21.51,23.15,31.59,12.14,7.6,4.01,575465.9129051,619502.687766,845165.3010341,324863.8495685,203354.4360155,107255.8127133
Pennsylvania,5128399.9999964,16.03,19.42,34.39,16.03,7.7,6.43,822160.9742668,996016.114601,1763639.024041,822034.0290916,394838.0724102,329711.7855858
Michigan,3918917.0000019,17.51,16.25,31.4,19.98,7.71,7.15,686364.9221565,636899.9126748,1230453.1392777,782826.4430317,302179.665888,280192.9169732
Wyoming,226146.00000045,16.01,22.05,25.88,24.04,8.26,3.76,36213.21512452,49862.69377795,58528.78155355,54357.57759973,18678.94619447,8504.78575023
Utah,1039997.0000007,17.5,27.54,26.43,15.66,8.35,4.52,182050.7215792,286431.1628529,274863.8088044,162869.1849345,86819.8744447,46962.247385
