"STATE","Total_households","Pct_INCOME_LESS_THAN_5K","Pct_INCOME_5K_7499","Pct_INCOME_7_5K_9999","Pct_INCOME_10K_12499","Pct_INCOME_12_5K_14999","Pct_INCOME_15K_19999","Pct_INCOME_20K_24999","Pct_INCOME_25K_29999","Pct_INCOME_30K_34999","Pct_INCOME_35K_39999","Pct_INCOME_40K_49999","Pct_INCOME_50K_59999","Pct_INCOME_60K_74999","Pct_INCOME_75K_99999","Pct_INCOME_100K_149999","Pct_INCOME_MORE_THAN_150K","INCOME_LESS_THAN_5K","INCOME_5K_7499","INCOME_7_5K_9999","INCOME_10K_12499","INCOME_12_5K_14999","INCOME_15K_19999","INCOME_20K_24999","INCOME_25K_29999","INCOME_30K_34999","INCOME_35K_39999","INCOME_40K_49999","INCOME_50K_59999","INCOME_60K_74999","INCOME_75K_99999","INCOME_100K_149999","INCOME_MORE_THAN_150K"
Wyoming,226146.00000045,4.33,0.89,0.88,2.86,0,2.82,4.55,5.68,8.2,1.82,10.2,11.27,13.34,9.84,15.55,7.78,9781.99034789,2013.38420446,1990.8846157,6467.64835569,0,6377.6067253,10297.15720886,12837.39941121,18551.2822666,4106.2600104,23067.53192681,25487.33294627,30163.4346933,22254.63457187,35157.12973882,17592.32297727
New Hampshire,538443.0000002,0.65,1.51,2.72,1.96,0,8.06,4.41,1.16,2.57,3.66,3.91,6.01,7.12,16.45,23.11,16.68,3521.4867377,8112.7167528,14667.8915786,10572.077358,0,43393.2585245,23744.9101268,6252.1373855,13859.0023915,19720.4962688,21053.9474686,32371.9905573,38352.8504573,88561.739833,124425.7410962,89832.7534636
Hawaii,474377.99999987,3,1.51,0.55,2.67,1.06,2.46,3.85,3.19,4.03,2.85,5.94,9.53,13.99,11.58,16.1,17.71,14211.8148644,7161.7299173,2589.6341031,12645.9743963,5038.0692369,11666.607324,18280.300065,15156.0291124,19097.3134336,13509.09166132,28167.5784748,45185.20486823,66386.65645605,54928.75636474,76357.00313683,83996.2365849
District of Columbia,316453.00000046,6.86,0.75,2.66,0.92,1.72,2.15,3.18,5.19,3.88,1.23,4.74,2.94,7.95,10.19,13.99,31.65,21702.68388471,2372.8679823,8428.4851619,2910.7738326,5444.9148989,6814.9352756,10061.35152687,16430.3073218,12284.82854437,3877.3061391,15013.0547034,9304.34873705,25143.15056157,32238.91087982,44263.91286357,100161.1676869
Utah,1039997.0000007,1.7,1.03,1.29,1.22,0.53,1.68,6.59,2.03,6.86,6.74,4.69,8.14,12.14,13.3,20.35,11.72,17667.7163161,10722.949749,13384.36954,12683.0576582,5517.5005113,17430.3123397,68516.7065374,21078.0723635,71385.9204857,70106.7945488,48779.2867308,84611.9455306,126303.4349113,138290.1794714,211643.5547236,121875.1985833
Vermont,258824.0000003,3.3,0,1.76,3.05,2.14,3.42,3.62,4.89,4.61,3.76,8.13,10.75,16.02,13.35,12.85,8.36,8542.73199775,0,4548.84658154,7882.8824297,5526.64856342,8848.524913,9357.22267915,12661.13081927,11944.01697216,9723.79753356,21054.83635472,27823.21672866,41452.49724838,34547.21262975,33266.74702067,21643.68752857
Nevada,1139409.0000005,3.99,1.16,0.32,2.37,0.54,4.55,4.8,4.51,5.98,6.08,8.99,9.9,14.57,15.4,9.12,7.72,45418.6018299,13197.4624267,3690.3237896,27022.4045339,6180.7558944,51898.0861282,54688.9405788,51402.4599684,68120.7529484,69242.1479761,102389.9182169,112786.9104556,166003.9975222,175429.2503411,103923.0773111,88013.9100792
Rhode Island,418688.99999965,6.48,2.8,4.37,1.35,1.87,2.64,3.93,2.67,2.94,3.82,7.67,6.69,8.93,12.47,16.58,14.78,27147.8621236,11728.3425912,18292.7648726,5640.1146357,7835.0343737,11041.1929326,16458.3792665,11173.5233827,12323.7192794,15978.347208,32132.0438673,28031.2284821,37381.2030662,52214.4353325,69420.39254285,61890.4160427
Idaho,656511.0000001,3.27,2.22,0.71,3.63,1.21,5.46,7.95,3,2.51,6.48,8.32,8.66,12.84,14.72,11.33,7.67,21481.9324257,14572.2541842,4664.0786752,23863.2797112,7953.2707183,35858.7614233,52181.6008959,19706.8779165,16495.9625501,42561.782318,54602.4885837,56884.4742339,84308.0117493,96663.2379076,74382.153057,50330.8336502
Alaska,257192.99999983,2.44,1.56,2.34,1.34,3.36,2.14,4.17,4.3,4.49,4.36,6.56,6.95,9.57,13.56,18.11,14.75,6263.76279522,4009.32546929,6023.8594702,3456.30840709,8635.88932771,5506.80585856,10730.0947113,11060.51957581,11544.27439239,11220.45461461,16881.13190388,17870.66526419,24621.59742025,34871.55383539,46567.45114104,37929.3058129
South Dakota,346424.99999969,1.61,2.12,1.07,3.74,2.56,2.44,4.23,4.36,4.57,4.48,10.74,9.1,10.02,11.33,17.14,10.49,5562.4957814,7361.0291199,3723.8127344,12960.1162686,8860.9285659,8436.6893964,14658.5435599,15087.8389174,15832.8334901,15533.140179,37210.689065,31513.5081287,34719.70633609,39248.225208,59377.1308439,36338.312405
North Dakota,315572.99999964,4.36,0.68,1.31,2.98,2.91,5.43,6.42,3.28,5.88,5.21,5.31,6.86,9.59,11.91,15.62,12.24,13774.47421768,2151.19564532,4144.5149278,9402.08262398,9186.50592963,17125.20171284,20245.34614025,10363.65634317,18540.55075045,16434.31532048,16763.48597214,21661.71547752,30265.66324053,37576.84107514,49295.63850384,38641.81211887
Delaware,380453.9999999,1.68,1.54,1.12,0.84,2.58,2.6,6.76,4.12,5.28,2.18,9.82,5.06,9.44,14.47,19.92,12.59,6373.9188747,5863.7810134,4255.2807732,3208.578511,9830.2656318,9885.1059444,25718.1849819,15689.2488918,20072.2515851,8305.3320194,37360.1431469,19253.8560757,35899.2386872,55059.101315,75782.4450697,47897.2674787
Maine,564534.9999994,1.56,0.63,2.82,3.4,2.81,2.79,4.82,6.8,3.37,6.15,4.36,7.33,16.06,14.06,13.7,9.35,8807.4472756,3584.5518576,15896.4240938,19220.052433,15865.0565505,15758.1823106,27238.5853275,38363.7673861,19010.7877587,34709.4885312,24590.5208086,41357.3662504,90672.7411172,79348.0817143,77351.6704178,52760.2761665
Mississippi,1084534.0000645,3.32,2.35,2.36,8.29,1.52,6.61,7.61,5.31,8.12,4.3,8.83,8,10.9,9.33,7.62,5.53,35955.9465899,25473.6484472,25582.6415779,89943.6573125,16520.8364207,71657.6015189,82563.0064931,57569.7261942,88074.4323461,46649.6626451,95794.7335321,86779.7290941,118181.0108733,101208.4495515,82632.3353017,59946.5821662
Montana,433329.0000007,3.28,0.45,2.37,2.2,4.15,3.81,4.76,2.77,7.12,7.02,13.87,7.68,12.48,9.76,12.17,6.11,14226.7451434,1940.3176653,10261.0533293,9522.48595,17961.8093401,16522.3675795,20639.2535237,11994.3453397,30845.7132601,30428.0319929,60108.8877749,33301.2644141,54090.6194511,42296.7288807,52732.1943313,26457.1820246
Nebraska,765200.9999992,0.97,1.28,2.81,2.26,2.36,4.75,6.51,2.17,5.88,6.83,4.89,8.66,14.12,10.16,14.3,12.07,7397.5618922,9765.2490977,21467.9076871,17296.9820719,18084.3782018,36371.3212229,49831.7023127,16610.0018763,44999.2496371,52256.5336528,37413.7551916,66228.8439526,108010.5704853,77731.7110671,109396.5749135,92338.6567366
Colorado,2259860.9999997,3.39,0.3,1.56,1.25,0.81,3.46,6.47,2.68,6.55,4.72,7.38,7.56,10.23,12.04,15.73,15.86,76501.0902265,6885.4952969,35149.8036193,28237.8094961,18199.8749611,78123.2418067,146310.3705296,60662.6366719,147954.7778826,106763.5314669,166870.967363,170921.0832111,231198.9229567,272143.9560091,355411.9968851,358525.4416171
