"STATE","Total_households","Pct_HOUSING_MOBILE","Pct_HOUSING_SINGLE_FAMILY_HOME_DETACHED","Pct_HOUSING_SINGLE_FAMILY_HOME_ATTACHED","Pct_HOUSING_APT_2_4_UNITS","Pct_HOUSING_APT_MORE_THAN_5_UNITS","HOUSING_MOBILE","HOUSING_SINGLE_FAMILY_HOME_DETACHED","HOUSING_SINGLE_FAMILY_HOME_ATTACHED","HOUSING_APT_2_4_UNITS","HOUSING_APT_MORE_THAN_5_UNITS"
District of Columbia,316453.00000046,0,8.45,19.01,8.58,63.95,0,26756.0986205,60167.49838136,27163.0085174,202366.3944812
Hawaii,474377.99999987,0,58.03,7.36,6.6,28,0,275283.8668668,34925.92370507,31328.7130268,132839.4964012
Rhode Island,418688.99999965,1.48,60.03,3.33,16.94,18.23,6178.3750507,251320.379077,13923.20730155,70945.5222317,76321.5163387
Alaska,257192.99999983,4.47,61.87,11.12,10.01,12.53,11505.9364259,159128.63376068,28589.02472835,25745.3412096,32224.0638753
North Dakota,315572.99999964,4.89,55.74,7.79,4.57,27.02,15429.06555496,175888.9933354,24570.60134712,14415.74217246,85268.5975897
South Dakota,346424.99999969,4.67,68.22,4.57,4.62,17.91,16175.3568977,236326.7126006,15844.30867759,16018.5718622,62060.0499616
Nebraska,765200.9999992,2.16,68.34,3.87,4.62,21.01,16540.5730691,522912.0329416,29635.7956355,35326.4958299,160786.1025231
Connecticut,1381897.0000001,1.2,60.52,5.52,14.36,18.4,16649.2556768,836258.4638576,76301.4261004,198380.7003401,254307.1540252
Maryland,2281334.9999995,0.74,52.79,16.34,5.68,24.45,16928.4582984,1204373.2180059,372690.677209,129657.6693938,557684.9770924
Massachusetts,2713777.9999996,0.74,51.25,5.7,21.34,20.97,20069.6437538,1390861.2976087,154774.8260041,579013.5391404,569058.6934926
Wyoming,226146.00000045,8.99,68.82,5.57,2.87,13.75,20341.76265567,155632.59069393,12592.15316615,6485.4448962,31094.0485885
Vermont,258824.0000003,9.08,61.75,3.71,13.35,12.11,23496.715947,159831.55264767,9597.58514043,34545.5823087,31352.5639565
Utah,1039997.0000007,2.38,70.35,8.05,5.59,13.63,24768.4883803,731586.3772601,83761.0946447,58136.7264133,141744.3133023
New Hampshire,538443.0000002,5.11,63.26,5.24,7.03,19.36,27509.0528817,340625.3781723,28219.8437332,37840.4711017,104248.2541113
New Jersey,3393982.9999994,1.09,52.92,10.37,15.03,20.59,37127.0412277,1796062.5317868,351892.4550368,510118.234794,698782.7371541
Delaware,380453.9999999,10.44,64.42,9.78,4.23,11.13,39704.333335,245088.5088563,37202.3492654,16099.881857,42358.9266862
Kansas,1127072.0000002,3.87,70.03,4.66,7.21,14.23,43643.6802848,789242.2073188,52525.5065413,81302.5859674,160358.0198879
Montana,433329.0000007,10.09,66.43,4.92,9.23,9.33,43710.8670109,287879.6950444,21301.7035981,39998.4859001,40438.2484472
Maine,564534.9999994,8.18,63.52,3.04,13.14,12.11,46195.95669,358601.9286346,17186.1117209,74159.1848772,68391.8180767
Minnesota,2229782.9999991,2.12,70.12,5.28,5.47,17.01,47160.7179784,1563533.3562834,117836.2346335,122008.5340171,379244.1570867
Idaho,656511.0000001,7.26,74.09,3.85,6.8,8.01,47643.4422706,486441.6259662,25247.2487427,44616.0517615,52562.6312591
Iowa,1281948.0000002,4.22,75.58,5.28,2.6,12.33,54107.9004088,968850.8978838,67627.3308544,33302.9392543,158058.9315989
Wisconsin,2388876.0000004,2.53,68.47,4.42,6.52,18.05,60464.3684195,1635730.100942,105694.7164338,155792.2075559,431194.6066492
Nevada,1139409.0000005,6.52,57.33,5.83,6.84,23.48,74260.0546197,653255.3371284,66401.0593315,77969.22469,267523.3242309
Indiana,2599596.9999959,2.98,76.55,4.81,7.49,8.17,77482.7253563,1990015.6837149,125056.2770165,194636.8618343,212405.4520739
Illinois,4900521.0000008,1.94,57.48,5.57,10.93,24.08,95023.1933089,2816642.0653494,273176.7499028,535545.47296,1180133.5184797
Colorado,2259860.9999997,4.68,63.47,6.5,4.85,20.5,105691.4396826,1434313.7110361,146943.7998479,109607.2910301,463304.758403
New Mexico,787053.0000001,14.29,64.98,3.37,7.68,9.68,112441.7627776,511430.2468113,26501.5679569,60469.4261353,76209.996319
West Virginia,696161.0000002,16.59,68.23,5.06,4.01,6.11,115507.5777216,474995.5330867,35203.514453,27914.4112406,42539.9634983
