"STATE","Total_households","Pct_USE_HEATER","Pct_DONT_USE_HEATER","Pct_MAIN_HEAT_AGE_0_2","Pct_MAIN_HEAT_AGE_2_4","Pct_MAIN_HEAT_AGE_5_9","Pct_MAIN_HEAT_AGE_10_14","Pct_MAIN_HEAT_AGE_15_19","Pct_MAIN_HEAT_AGE_OLDER_THAN_20","USE_HEATER","DONT_USE_HEATER","MAIN_HEAT_AGE_0_2","MAIN_HEAT_AGE_2_4","MAIN_HEAT_AGE_5_9","MAIN_HEAT_AGE_10_14","MAIN_HEAT_AGE_15_19","MAIN_HEAT_AGE_OLDER_THAN_20"
New Hampshire,538443.0000002,100,0,12.18,9.25,16.43,22.57,9.35,30.23,538443.0000002,0,65593.5521393,49779.7292114,88447.0547011,121512.4792212,50341.3443521,162768.8403751
Iowa,1281948.0000002,100,0,9.97,11.71,20.97,22.49,13.97,20.89,1281948.0000002,0,127816.4533249,150166.7066735,268884.6996868,288266.4156744,179060.023901,267753.7007396
Minnesota,2229782.9999991,100,0,6.04,9.72,25.59,21.51,14.38,22.76,2229782.9999991,0,134772.7563757,216750.1741031,570517.3910997,479622.1907675,320590.8759201,507529.611733
Idaho,656511.0000001,100,0,8.97,13.47,22.68,19.94,10.88,24.06,656511.0000001,0,58880.5856912,88436.6643557,148870.3632426,130906.1020621,71444.8901918,157972.3944567
Maine,564534.9999994,100,0,8.22,10.02,17.1,21.23,14.93,28.5,564534.9999994,0,46403.3802209,56559.2579094,96562.8887117,119855.1554383,84276.4947344,160877.8229847
New Mexico,787053.0000001,100,0,10.03,15.77,23.14,19.56,13.74,17.75,787053.0000001,0,78977.0936499,124124.1016872,182142.4553916,153936.0956596,108137.0896671,139736.1639447
Connecticut,1381897.0000001,100,0,10.21,11.23,17.64,18.75,12.54,29.63,1381897.0000001,0,141044.0496438,155226.2962502,243719.6633379,259134.7515263,173264.9325572,409507.3066847
Kansas,1127072.0000002,100,0,14.68,12.21,23.89,23.92,10.74,14.57,1127072.0000002,0,165437.8463652,137583.4688214,269203.342097,269643.4056013,120994.6413716,164209.2957437
Michigan,3918917.0000019,100,0,8.8,14.53,22.4,20.23,12.7,21.34,3918917.0000019,0,344673.4197424,569512.8529553,877956.9920851,792908.7724792,497532.8354314,836332.1273085
Wyoming,226146.00000045,100,0,7.64,13.62,26.89,23.94,7.8,20.12,226146.00000045,0,17275.88851075,30798.91547039,60799.74267064,54131.9930402,17642.17033374,45497.28997473
Utah,1039997.0000007,100,0,11.44,15.33,24.83,20.5,13.79,14.12,1039997.0000007,0,119024.9811935,159386.30262,258184.7894309,213224.8934878,143380.3078749,146795.7253936
Montana,433329.0000007,100,0,12.14,14.74,19.97,19.99,11.79,21.38,433329.0000007,0,52597.0921123,63881.438409,86523.4467295,86625.0859475,51073.9624387,92627.9743637
Pennsylvania,5128399.9999964,99.85,0.15,5.76,14.2,18.93,18.73,12.38,29.84,5120497.3617264,7902.63827,295206.6572115,728190.097069,970944.0793987,960715.0606215,635032.6938277,1530408.773598
Virginia,3242013.9999995,99.77,0.23,8.8,18.46,25.61,19.68,10.09,17.12,3234488.5209766,7525.4790229,285377.8098676,598418.7583957,830292.8228337,638122.1779607,327258.2658601,555018.6860588
Massachusetts,2713777.9999996,99.62,0.38,8.94,10.04,18.66,19.11,11.3,31.57,2703455.0695731,10322.9304265,242481.9400579,272483.1730766,506430.6729834,518514.1008656,306714.6298962,856830.5526934
Indiana,2599596.9999959,99.6,0.4,9.97,15.16,26.74,18.91,9.13,19.69,2589169.8891475,10427.1108484,259189.9137688,394136.3526068,695155.7675544,491634.9854917,237222.9519761,511829.9177497
Mississippi,1084534.0000645,99.56,0.44,17.38,12.72,18.99,18.39,14.27,17.82,1079787.5683114,4746.4317531,188449.2060533,137992.5150871,205913.3056622,199445.4586253,154717.0603531,193270.0225304
Rhode Island,418688.99999965,99.54,0.46,12.04,11.04,16.44,16.61,12.89,30.51,416770.53373575,1918.4662639,50406.4934542,46242.9215163,68851.1068066,69538.7073042,53969.20552845,127762.099126
Ohio,4739000.9999868,99.5,0.5,10.87,13.51,22.42,17.68,16.25,18.77,4715436.4683148,23564.531672,515234.0736159,640127.69324,1062553.3968292,837841.8663364,770055.1541613,889624.284132
New Jersey,3393982.9999994,99.5,0.5,6.23,10.36,20.41,19.95,13.37,29.17,3377003.4661226,16979.5338768,211531.9144786,351515.2741535,692836.1102528,677211.3174553,453875.2832857,990033.5664967
Tennessee,2657514.0002771,99.45,0.55,15.52,19.8,25.68,15.94,11.07,11.44,2642793.9671232,14720.0331539,412435.7682008,526158.2025913,682497.7221348,423602.1524802,294155.879006,303944.2427101
West Virginia,696161.0000002,99.43,0.57,10.41,12.28,23.22,20.51,17.38,15.64,692224.8628701,3936.1371301,72454.1586431,85486.4874225,161645.8958745,142759.2265252,120966.1160532,108912.9783516
Kentucky,1738263.0002599,99.42,0.58,14.59,13.42,26.59,20.09,10.96,13.78,1728230.5932912,10032.4069687,253631.2683074,233214.7439826,462199.4745854,349285.0660714,190453.6903972,239446.3499472
Missouri,2429812.9999985,99.37,0.63,10.71,12.02,25.43,22.81,14.36,14.04,2414469.9628705,15343.037128,260274.0630094,292101.7963461,617877.9597349,554138.0542831,348986.743423,341091.346074
Nebraska,765200.9999992,99.35,0.65,9.48,8.24,17.76,25.71,18.7,19.46,760191.0997093,5009.9002899,72546.2568508,63046.5064388,135864.1423218,196767.4210385,143089.6762718,148877.0967876
Wisconsin,2388876.0000004,99.34,0.66,8.37,11.07,18.44,23.27,13.05,25.14,2373116.330212,15759.6697884,199973.1224232,264486.8176192,440568.9576838,555868.3312029,311719.4069218,600499.6943611
Vermont,258824.0000003,99.29,0.71,9.6,9.9,17.27,15.69,16.8,30.05,256990.5142975,1833.4857028,24836.93489847,25619.58015853,44688.52059186,40599.27752698,43472.2662172,77773.93490446
Delaware,380453.9999999,99.29,0.71,10.8,22.37,23.41,20.92,9.34,12.44,377744.0771403,2709.9228596,41086.4097482,85121.5967597,89046.0476871,79606.0198553,35539.5432933,47344.4597967
Illinois,4900521.0000008,99.13,0.87,10.27,11.9,23.43,20.37,10.68,22.47,4857743.5940977,42777.4059031,503424.6485253,582994.136525,1148290.7770186,998297.2116425,523465.807104,1101271.0132823
Colorado,2259860.9999997,99.1,0.9,9.93,10.49,22.45,19.45,12.45,24.33,2239538.8024835,20322.1975162,224300.9543084,237069.6944355,507424.5276533,439646.0078814,281347.7453423,549749.8728626
North Dakota,315572.99999964,99.01,0.99,8.77,11.83,25.62,17.96,13.09,21.74,312445.42348904,3127.5765106,27675.8823177,37342.97788266,80851.08335866,56671.56625436,41297.55861058,68606.35506508
Alaska,257192.99999983,98.97,1.03,9.36,9.36,26.05,22.09,15.53,16.58,254534.73385614,2658.26614369,24081.92335839,24064.88978518,66990.23560186,56818.40683442,39936.40124654,42642.87702975
North Carolina,4012738.9999972,98.94,1.06,11.5,15.82,27.2,17.49,14.75,12.18,3970133.7672893,42605.2327079,461270.404098,634617.9811175,1091637.0855298,701772.4308864,591969.0521132,488866.8135444
