"STATE","Total_households","Pct_USE_AC","Pct_DONT_USE_AC","Pct_MAIN_AC_AGE_0_2","Pct_MAIN_AC_AGE_2_4","Pct_MAIN_AC_AGE_5_9","Pct_MAIN_AC_AGE_10_14","Pct_MAIN_AC_AGE_15_19","Pct_MAIN_AC_AGE_OLDER_THAN_20","USE_AC","DONT_USE_AC","MAIN_AC_AGE_0_2","MAIN_AC_AGE_2_4","MAIN_AC_AGE_5_9","MAIN_AC_AGE_10_14","MAIN_AC_AGE_15_19","MAIN_AC_AGE_OLDER_THAN_20"
Alaska,257192.99999983,6.94,93.06,3.35,1.15,1.28,0,0.61,0.54,17852.31265706,239340.68734277,8612.94439719,2969.12337232,3291.67539551,0,1580.34901254,1398.2204795
Maine,564534.9999994,70.45,29.55,17.44,24.36,19.25,5.24,2.65,1.51,397711.0969475,166823.9030519,98456.2155638,137516.2870941,108692.4240826,29570.1222646,14934.8390232,8541.2089192
Vermont,258824.0000003,66.96,33.04,13.25,17.98,22,8.67,2.53,2.52,173312.77761193,85511.22238837,34288.12140365,46546.40526167,56942.77646696,22448.69548782,6555.01417959,6531.76481224
Hawaii,474377.99999987,56.98,43.02,13.87,18.8,12.91,4.4,3.24,3.76,270298.82582314,204079.17417673,65787.82077979,89191.49643622,61252.34913503,20870.3458332,15367.1561776,17829.6574613
New Hampshire,538443.0000002,77.71,22.29,12.79,21.53,25.22,7.97,6.42,3.79,418402.5374769,120040.4625233,68860.0348974,115906.7130442,135799.495764,42900.1310613,34551.7947278,20384.3679822
Montana,433329.0000007,65.07,34.93,8.14,16.11,17.03,14.11,5.2,4.49,281978.8762811,151350.1237196,35277.3917235,69804.7042513,73782.9014734,61154.438929,22516.9484183,19442.4914856
Florida,8062163.9999996,95.78,4.22,20.63,18.61,25.76,18.71,7.25,4.83,7722186.2572805,339977.7427191,1663215.3934175,1500066.9357929,2076725.0927863,1508785.3820163,584160.4492815,389233.003986
Washington,2939032.0000032,52.51,47.49,9.53,13.91,12.5,8.16,3.32,5.09,1543253.1002953,1395778.8997079,280067.869178,408904.5209932,367520.9625381,239726.1991996,97510.7839433,149522.7644431
North Carolina,4012738.9999972,90.56,9.44,10.25,16.47,26.14,20.55,11.91,5.24,3633879.9299393,378859.0700579,411445.1060447,660730.9221756,1048951.1708249,824509.950914,478028.4352436,210214.3447365
Connecticut,1381897.0000001,89.63,10.37,11.97,22.01,24.24,16.49,9.43,5.48,1238528.7650225,143368.2349776,165452.8509161,304171.9859341,334991.572315,227829.1878942,130334.0799031,75749.08806
Oregon,1654154.0000003,76.3,23.7,17.41,16.45,17.14,11.23,8.18,5.89,1262062.7910439,392091.2089564,287943.546264,272123.4628758,283507.970308,185693.1574863,135283.5716439,97511.0824659
Arizona,2675608.0000025,94.24,5.76,17.42,19.69,24.86,17.29,8.86,6.12,2521543.0834943,154064.9165082,466097.6217567,526909.037988,665130.7134105,462512.5964848,237053.8808558,163839.2329985
Rhode Island,418688.99999965,90.03,9.97,10.27,23.21,29.36,14.42,6.57,6.21,376936.17051795,41752.8294817,42986.4358443,97191.30930005,122913.3999452,60366.8077608,27489.1501226,25989.067545
Massachusetts,2713777.9999996,87.25,12.75,13.6,23.79,26.06,12.32,5.24,6.24,2367723.6238919,346054.3761077,369152.1988471,645666.4822806,707227.2666703,334257.4960018,142184.8447514,169235.3353407
Georgia,3881405.0000088,95.23,4.77,16.76,19.11,26.61,15.99,10.03,6.72,3696117.54429,185287.4557188,650415.6734082,741919.6922957,1032897.8985511,620816.085459,389151.1704,260917.024176
Arkansas,1143631.9999998,93.39,6.61,13.16,16.66,28.66,16.78,11.27,6.85,1068015.9812865,75616.0187133,150520.8235155,190543.3780902,327715.7712883,191934.9904706,128941.4909778,78359.5269441
Wyoming,226146.00000045,70.68,29.32,7.58,12.95,26.29,10.99,5.94,6.93,159837.09279394,66308.90720651,17139.03433687,29285.89817203,59463.26836059,24845.47625034,13424.37994786,15679.03572625
Texas,10255403.0000072,94.95,5.05,14.31,19.96,28.49,17.92,7.31,6.96,9737766.0706883,517636.9293189,1467629.6893575,2046649.3506947,2922056.1048196,1837496.1940204,750091.666081,713843.0657151
New Mexico,787053.0000001,84.97,15.03,12.98,17.68,22.19,14.99,10,7.12,668730.5785878,118322.4214123,102197.7348559,139162.965787,174661.9547487,118001.5148938,78698.9345816,56007.4737208
West Virginia,696161.0000002,89.1,10.9,12.96,11.62,28.98,19.04,9.31,7.19,620299.3044104,75861.6955898,90228.1655972,80868.1950948,201767.4135852,132568.9980935,64840.4750753,50026.0569644
Utah,1039997.0000007,91.9,8.1,11.63,14.8,23.78,21.88,12.56,7.26,955807.7788243,84189.2211764,120910.234543,153943.2923635,247329.1814386,227567.2066126,130595.5863187,75462.2775479
South Carolina,1970536,95.09,4.91,13.28,21.35,24.18,19.65,9.35,7.28,1873802.4856183,96733.5143817,261598.0775095,420653.697795,476568.8324704,387308.7371216,184184.9970831,143488.1436387
Alabama,1900406.0001634,93.53,6.47,13.11,18.58,30.85,17.41,6.22,7.37,1777538.9117206,122867.0884428,249192.4444296,353125.8980753,586240.826442,330811.0030527,118128.0729908,140040.6667302
New York,7521119.9999968,87.7,12.3,12.07,22.94,26.66,13.17,5.46,7.39,6595844.8954557,925275.1045411,908121.1709917,1725713.762213,2005188.311399,990500.5166561,410316.215636,556004.9185599
